CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-LR.piControl.r1i1p1f1.Ofx.basin.gn.v20200919, hdl:21.14100/b8e721f5-bb20-3a72-9584-0b25a35ef0da
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.piControl.r1i1p1f1.Ofx.basin.gn.v20200918, hdl:21.14100/f10ffc59-375b-3a8a-bc94-16ebd97af49b
CMIP6.CMIP.HAMMOZ-Consortium.MPI-ESM-1-2-HAM.piControl.r1i1p1f1.Ofx.basin.gn.v20190627, hdl:21.14100/6516caab-a113-3942-bdf1-7d17ae3270e1
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.piControl.r1i1p1f1.Ofx.basin.gn.v20200326, hdl:21.14100/8f141ece-8ee7-3c23-9027-5948e451e5a6
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.piControl.r1i1p1f1.Ofx.basin.gn.v20190709, hdl:21.14100/d058b531-2f61-352a-a9c6-88cd1382dff9
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Ofx.basin.gn.v20200108, hdl:21.14100/cd97e5a8-bfd5-3ad0-9ce4-2681485255d8
CMIP6.CMIP.MOHC.UKESM1-0-LL.piControl.r1i1p1f2.Ofx.basin.gn.v20190705, hdl:21.14100/ceff3dc5-45c9-3c25-a8be-779ef6788b75
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.piControl.r1i1p1f1.Ofx.basin.gn.v20190710, hdl:21.14100/798cb3dd-de56-3fa1-9e4d-eef21499a04f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.piControl.r1i1p1f1.Ofx.basin.gn.v20190710, hdl:21.14100/bf9f0079-793c-3568-ba4e-77e7f282363d
CMIP6.CMIP.MRI.MRI-ESM2-0.piControl.r1i1p1f1.Ofx.basin.gn.v20191224, hdl:21.14100/1e391f99-ebee-3e10-8ecc-7d3edf99c98c
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.piControl.r1i1p1f1.Ofx.basin.gn.v20180824, hdl:21.14100/f025ee62-77f9-364b-9e55-51ea27b133c3
CMIP6.CMIP.NCC.NorCPM1.piControl.r1i1p1f1.Ofx.basin.gn.v20190914, hdl:21.14100/87e4c0ac-bfe7-3413-9e74-700024c95904
CMIP6.CMIP.NCC.NorESM1-F.piControl.r1i1p1f1.Ofx.basin.gn.v20190920, hdl:21.14100/6dffbc79-2f39-35a8-bca7-350531c285f2
