var_id,model,index
mrtws,CESM2-WACCM-FV2,4
msftbarot,CESM2,84
msftbarot,CESM2-FV2,8
msftbarot,CESM2-WACCM,10
msftbarot,CESM2-WACCM-FV2,8
msftmz,CESM2,36
msftmz,CESM2-FV2,4
msftmz,CESM2-WACCM,5
msftmz,CESM2-WACCM-FV2,4
n2o,CESM2-WACCM,9
n2oglobal,CESM2,18
n2oglobal,CESM2-WACCM,9
nbp,CESM2,581
nbp,CESM2-FV2,4
nbp,CESM2-WACCM,34
nbp,CESM2-WACCM-FV2,4
netAtmosLandCO2Flux,CESM2,12
netAtmosLandCO2Flux,CESM2-WACCM,4
no,CESM2-WACCM-FV2,4
no2,CESM2-WACCM-FV2,4
npp,CESM2,12
npp,CESM2-WACCM,4
o3,CESM2,620
o3,CESM2-FV2,12
o3,CESM2-WACCM,36
o3,CESM2-WACCM-FV2,12
o3loss,CESM2-WACCM-FV2,4
o3prod,CESM2-WACCM-FV2,4
od550aer,CESM2,47
od550aer,CESM2-FV2,4
od550aer,CESM2-WACCM,7
od550aer,CESM2-WACCM-FV2,4
oh,CESM2,41
oh,CESM2-FV2,8
oh,CESM2-WACCM-FV2,8
ph,CESM2,142
ph,CESM2-FV2,56
ph,CESM2-WACCM,46
ph,CESM2-WACCM-FV2,60
photo1d,CESM2-WACCM-FV2,4
pr,CESM2,1214
pr,CESM2-FV2,81
pr,CESM2-WACCM,138
pr,CESM2-WACCM-FV2,85
prc,CESM2-WACCM,9
prsn,CESM2,27
prsn,CESM2-FV2,14
prsn,CESM2-WACCM,3
prsn,CESM2-WACCM-FV2,15
prw,CESM2,926
prw,CESM2-FV2,81
prw,CESM2-WACCM,106
prw,CESM2-WACCM-FV2,85
ps,CESM2,894
ps,CESM2-FV2,29
ps,CESM2-WACCM,44
ps,CESM2-WACCM-FV2,46
psl,CESM2,940
psl,CESM2-FV2,81
psl,CESM2-WACCM,135
psl,CESM2-WACCM-FV2,153
ptp,CESM2,21
ptp,CESM2-FV2,4
ptp,CESM2-WACCM-FV2,4
ra,CESM2,26
ra,CESM2-FV2,2
ra,CESM2-WACCM,4
rh,CESM2,28
rh,CESM2-FV2,2
rh,CESM2-WACCM,4
rh,CESM2-WACCM-FV2,1
rlds,CESM2,790
rlds,CESM2-FV2,29
rlds,CESM2-WACCM,52
rlds,CESM2-WACCM-FV2,29
rldscs,CESM2,562
rldscs,CESM2-WACCM,30
rlus,CESM2,183
rlus,CESM2-FV2,29
rlus,CESM2-WACCM,10
rlus,CESM2-WACCM-FV2,29
rlut,CESM2,1086
rlut,CESM2-FV2,81
rlut,CESM2-WACCM,154
rlut,CESM2-WACCM-FV2,85
rlutcs,CESM2,606
rlutcs,CESM2-FV2,14
rlutcs,CESM2-WACCM,35
rlutcs,CESM2-WACCM-FV2,15
rsds,CESM2,1007
rsds,CESM2-FV2,109
rsds,CESM2-WACCM,138
rsds,CESM2-WACCM-FV2,115
rsdscs,CESM2,568
rsdscs,CESM2-WACCM,30
rsdt,CESM2,460
rsdt,CESM2-FV2,81
rsdt,CESM2-WACCM,104
rsdt,CESM2-WACCM-FV2,85
rss,CESM2,12
rss,CESM2-FV2,4
rss,CESM2-WACCM-FV2,4
rsus,CESM2,238
rsus,CESM2-FV2,29
rsus,CESM2-WACCM,32
rsus,CESM2-WACCM-FV2,29
rsuscs,CESM2,24
rsuscs,CESM2-WACCM,10
rsut,CESM2,991
rsut,CESM2-FV2,81
rsut,CESM2-WACCM,120
rsut,CESM2-WACCM-FV2,85
rsutcs,CESM2,995
rsutcs,CESM2-FV2,81
rsutcs,CESM2-WACCM,118
rsutcs,CESM2-WACCM-FV2,85
rtmt,CESM2,572
rtmt,CESM2-FV2,4
rtmt,CESM2-WACCM,32
rtmt,CESM2-WACCM-FV2,4
sbl,CESM2,64
sbl,CESM2-FV2,12
sbl,CESM2-WACCM,19
sbl,CESM2-WACCM-FV2,12
sfcWind,CESM2,48
sfcWind,CESM2-WACCM,17
sftgif,CESM2,45
sftgif,CESM2-FV2,16
sftgif,CESM2-WACCM,13
sftgif,CESM2-WACCM-FV2,17
sftlf,CESM2,879
sftlf,CESM2-FV2,5
sftlf,CESM2-WACCM,33
sftlf,CESM2-WACCM-FV2,5
shrubFrac,CESM2,47
shrubFrac,CESM2-WACCM,16
siarean,CESM2,26
siarean,CESM2-FV2,4
siarean,CESM2-WACCM,7
siarean,CESM2-WACCM-FV2,4
siareas,CESM2,26
siareas,CESM2-FV2,4
siareas,CESM2-WACCM,7
siareas,CESM2-WACCM-FV2,4
siconc,CESM2,142
siconc,CESM2-FV2,28
siconc,CESM2-WACCM,31
siconc,CESM2-WACCM-FV2,30
siconca,CESM2,41
siconca,CESM2-FV2,4
siconca,CESM2-WACCM,9
siconca,CESM2-WACCM-FV2,4
simass,CESM2,51
simass,CESM2-WACCM,17
sithick,CESM2,50
sithick,CESM2-FV2,8
sithick,CESM2-WACCM,14
sithick,CESM2-WACCM-FV2,8
sivoln,CESM2,26
sivoln,CESM2-FV2,4
sivoln,CESM2-WACCM,7
sivoln,CESM2-WACCM-FV2,4
sivols,CESM2,23
sivols,CESM2-FV2,4
sivols,CESM2-WACCM,7
sivols,CESM2-WACCM-FV2,4
snc,CESM2,49
snc,CESM2-FV2,12
snc,CESM2-WACCM,4
snc,CESM2-WACCM-FV2,12
snd,CESM2,25
snd,CESM2-FV2,3
snd,CESM2-WACCM,7
snd,CESM2-WACCM-FV2,2
snm,CESM2,60
snm,CESM2-FV2,12
snm,CESM2-WACCM,9
snm,CESM2-WACCM-FV2,12
snw,CESM2,51
snw,CESM2-FV2,2
snw,CESM2-WACCM,8
snw,CESM2-WACCM-FV2,2
so,CESM2,176
so,CESM2-FV2,8
so,CESM2-WACCM,44
so,CESM2-WACCM-FV2,8
so2,CESM2,28
so2,CESM2-FV2,4
so2,CESM2-WACCM,5
so2,CESM2-WACCM-FV2,4
sos,CESM2,151
sos,CESM2-FV2,16
sos,CESM2-WACCM,38
sos,CESM2-WACCM-FV2,16
spco2,CESM2,102
spco2,CESM2-WACCM,34
ta,CESM2,1455
ta,CESM2-FV2,41
ta,CESM2-WACCM,277
ta,CESM2-WACCM-FV2,42
talk,CESM2,102
talk,CESM2-WACCM,34
tas,CESM2,1200
tas,CESM2-FV2,108
tas,CESM2-WACCM,186
tas,CESM2-WACCM-FV2,112
tasmax,CESM2,551
tasmin,CESM2,551
tauu,CESM2,734
tauu,CESM2-FV2,21
tauu,CESM2-WACCM,41
tauu,CESM2-WACCM-FV2,21
tauv,CESM2,733
tauv,CESM2-FV2,21
tauv,CESM2-WACCM,41
tauv,CESM2-WACCM-FV2,21
thetao,CESM2,212
thetao,CESM2-FV2,28
thetao,CESM2-WACCM,44
thetao,CESM2-WACCM-FV2,30
thetaoga,CESM2,58
thetaoga,CESM2-FV2,14
thetaoga,CESM2-WACCM,14
thetaoga,CESM2-WACCM-FV2,15
thkcello,MCM-UA-1-0,1
